Name,Industry,Sector,Headquarters,Founded,Notes
"Magnolia, Inc.",Consumer goods,Food products,Pasig,1981,"Dairy products, part of San Miguel Food and Beverage"
Makati Medical Center,Health care,Health care providers,Makati,1969,Hospitals
Malaya,Consumer services,Publishing,Manila,1981,Newspaper
Malagos Chocolate,Consumer goods,Food products,Davao City,2012,Chocolates
Mang Inasal,Consumer services,Restaurants & bars,Pasig,2003,"Restaurant, part of Jollibee Foods Corporation"
Manila Broadcasting Company,Mass media,Broadcasting & entertainment,Pasay,1939,"Broadcaster radio, television, digital media and Consumer services"
Manila Bulletin,Consumer services,Publishing,Manila,1900,Newspaper
Manila Hotel,Consumer services,Hotels,Manila,1912,Hotel
Manila North Tollways Corporation,Industrials,Transportation services,Caloocan,1997,Infrastructure
Manila Standard,Consumer services,Publishing,Makati,1987,Newspaper
Manila Times,Consumer services,Publishing,Manila,1898,Newspaper
Manila Water,Utilities,Water,Quezon City,1997,"Water utility, part of Ayala Corporation"
Max's Restaurant,Consumer services,Restaurants & bars,Quezon City,1945,Restaurant
Maynilad Water Services,Utilities,Water,Quezon City,1997,"Water utility, part of Metro Pacific Investments"
McDonald's Philippines,Consumer services,Restaurants & bars,Makati,1981,"Fast food, part of McDonald's (US) and Alliance Global"
MediaQuest Holdings,Holding firm,Media and entertainment,Makati,1998,"Broadcasting, telecommunications, pay TV, films, music, online, print, consumer services, part of PLDT"
Megaworld Corporation,Financials,Real estate holding & development,Taguig,1989,Real estate
Megaworld Lifestyle Malls,Consumer services,Broadline retailers,Quezon City,2009,"Malls, part of Megaworld Corporation"
Meralco,Utilities,Conventional electricity,Pasig,1895,Electrical utility
Mercury Drug,Consumer services,Drug retailers,Quezon City,1945,Drug sales
Metro Pacific Investments,Conglomerates,Various,Makati,2006,Holding
Metro Retail Stores Group,Consumer services,Broadline retailers,Cebu,1982,Retailer
Metropolitan Bank and Trust Company,Financials,Banks,Makati,1962,Universal bank
Metropolitan Medical Center,Health care,Health care providers,Tondo,1962,Hospital
Mighty Corporation,Consumer goods,Tobacco,Manila,1945,Tobacco
Monde Nissin,Consumer goods,Food products,"Santa Rosa, Laguna",1979,Food
MyPhone,Telecommunications,Mobile telecommunications,Parañaque,2007,Mobile phones
